epoch,batch,total_loss,box_loss,cls_loss,dfl_loss
0,0,7210.572266,3.824725,7202.532715,4.214611
0,10,7265.267578,3.532031,7257.578125,4.157244
0,20,6089.413086,3.657402,6081.671875,4.084200
0,30,5019.569336,3.663980,5011.930664,3.974452
0,40,4406.864746,3.730123,4399.241211,3.893764
0,50,4345.520508,3.647826,4338.048828,3.823592
0,60,3671.130615,3.617770,3663.837402,3.675535
0,70,2451.238281,3.681081,2443.945801,3.611317
0,80,2137.922119,3.762529,2130.556885,3.602761
0,90,1746.318115,3.748346,1738.974121,3.595746
0,100,1464.763550,3.777758,1457.371216,3.614681
0,110,1047.211792,3.565829,1040.172852,3.473165
0,120,894.960999,3.749581,887.715271,3.496148
0,130,777.909180,3.650637,770.807495,3.451071
0,140,653.821594,3.704590,646.709229,3.407768
0,150,505.308014,3.777834,498.133270,3.396909
0,160,529.838562,3.822343,522.610229,3.406005
0,170,343.069397,3.681115,336.096985,3.291283
0,180,396.317474,3.608170,389.451691,3.257591
0,190,291.114777,3.621286,284.148773,3.344739
0,200,383.863617,3.430213,377.143951,3.289473
0,210,241.906433,3.653500,234.978500,3.274430
0,220,282.258881,3.640903,275.251678,3.366293
0,230,190.924484,3.701630,183.979172,3.243676
0,240,231.664337,3.567711,224.851593,3.245029
0,250,149.106384,3.587488,142.248230,3.270654
0,260,152.589523,3.602217,145.763275,3.224035
0,270,164.727905,3.677938,157.763565,3.286412
0,280,164.807053,3.764778,157.702179,3.340108
0,290,123.103508,3.636374,116.239075,3.228058
0,300,144.157410,3.708717,137.208145,3.240535
0,310,116.890175,3.558475,110.077492,3.254204
0,320,110.904236,3.881636,103.751579,3.271019
0,330,93.494263,3.522465,86.756409,3.215393
0,340,97.544914,3.684884,90.676071,3.183963
0,350,93.574249,3.479453,87.036728,3.058069
0,360,95.666901,3.573612,88.886749,3.206546
0,370,108.157906,3.467683,101.607529,3.082693
0,380,87.222862,3.456851,80.606331,3.159682
0,390,77.982513,3.527153,71.276810,3.178551
0,400,75.325432,3.467921,68.703064,3.154451
0,410,80.845322,3.638234,74.068459,3.138629
0,420,70.617088,3.617300,63.792774,3.207014
0,430,74.241417,3.480867,67.524498,3.236055
0,440,66.766174,3.486193,60.127254,3.152728
0,450,72.917160,3.631207,66.102432,3.183520
0,460,65.175011,3.610541,58.399315,3.165151
0,470,59.078373,3.543126,52.353535,3.181711
0,480,62.648605,3.416371,56.093029,3.139205
0,490,57.506191,3.507160,50.893200,3.105832
0,500,67.424919,3.352232,60.963531,3.109157
